distance,speed,heart_rate,cadence,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
2850.05,3.984,148,84,803,254.57,44.97672286815941,-93.2296440191567,6091847648,254.53585253456222,-0.03414746543776914,2021-01-11T18:16:41Z
2853.2,3.966,147,84,804,254.57,44.976738123223186,-93.22967779822648,6091847648,254.55437788018435,-0.015622119815645874,2021-01-11T18:16:42Z
2856.1,3.956,147,84,805,254.59,44.97675463557243,-93.22970629669726,6091847648,254.57188940092166,-0.018110599078340783,2021-01-11T18:16:43Z
2858.84,3.938,148,83,806,254.62,44.97677156701684,-93.22973161004484,6091847648,254.58866359447006,-0.03133640552994166,2021-01-11T18:16:44Z
2860.77,3.9,148,83,807,254.65,44.97678237967193,-93.2297508046031,6091847648,254.6047004608295,-0.045299539170514436,2021-01-11T18:16:45Z
2861.65,3.863,148,82,808,254.65,44.97678908519447,-93.22975893504918,6091847648,254.61958525345622,-0.030414746543783622,2021-01-11T18:16:46Z
2862.68,3.788,148,81,809,254.65,44.97679545544088,-93.22974937967956,6091847648,254.63350230414747,-0.0164976958525358,2021-01-11T18:16:47Z
2865.74,2.641,147,81,810,254.63,44.97681071050465,-93.22971694171429,6091847648,254.64672811059907,0.016728110599075308,2021-01-11T18:16:48Z
2869.11,2.641,147,81,811,254.71,44.97682303190231,-93.22967788204552,6091847648,254.65935483870967,-0.05064516129033336,2021-01-11T18:16:49Z
2872.96,3.126,147,83,812,254.71,44.97683652676642,-93.22963287122548,6091847648,254.67105990783412,-0.03894009216588756,2021-01-11T18:16:50Z
2877.09,3.751,146,84,813,254.76,44.97685479931533,-93.22958727367222,6091847648,254.68138248847927,-0.07861751152071861,2021-01-11T18:16:51Z
2881.02,3.751,146,86,814,254.79,44.97687449678779,-93.22954578325152,6091847648,254.69027649769586,-0.09972350230412985,2021-01-11T18:16:52Z
2884.82,3.91,144,86,815,254.81,44.976898385211825,-93.22951141744852,6091847648,254.69824884792627,-0.11175115207373665,2021-01-11T18:16:53Z
2888.31,3.91,144,86,816,254.84,44.97692042961717,-93.22947973385452,6091847648,254.70566820276497,-0.13433179723503486,2021-01-11T18:16:54Z
2892.15,3.854,144,86,817,254.8,44.97694658115506,-93.22944788262248,6091847648,254.7125806451613,-0.08741935483871544,2021-01-11T18:16:55Z
2895.89,3.798,145,85,818,254.8,44.97697256505489,-93.22941787540913,6091847648,254.71866359447006,-0.08133640552995303,2021-01-11T18:16:56Z
2899.48,3.779,144,85,819,254.8,44.97700022533536,-93.229393735528,6091847648,254.72396313364055,-0.07603686635945905,2021-01-11T18:16:57Z
2902.73,3.546,144,85,820,254.77,44.97702235355973,-93.22936674579978,6091847648,254.72870967741935,-0.04129032258066445,2021-01-11T18:16:58Z
2905.96,3.546,144,85,821,254.74,44.977046409621835,-93.22934377938508,6091847648,254.73290322580647,-0.007096774193541933,2021-01-11T18:16:59Z
2909.36,3.546,144,85,822,254.74,44.97707432135939,-93.22932600975037,6091847648,254.73645161290324,-0.0035483870967709663,2021-01-11T18:17:00Z
2912.28,3.592,145,85,823,254.75,44.97709795832634,-93.2293097488582,6091847648,254.73917050691244,-0.010829493087555875,2021-01-11T18:17:01Z
2914.69,3.62,144,86,824,254.74,44.977117823436856,-93.22929734364152,6091847648,254.74018433179722,1.8433179721455417e-4,2021-01-11T18:17:02Z
2920.06,3.611,145,86,825,254.75,44.97716451063752,-93.22927253320812,6091847648,254.73917050691244,-0.010829493087555875,2021-01-11T18:17:03Z
2923.85,3.648,144,85,826,254.74,44.97719820588827,-93.22926440276206,6091847648,254.73566820276497,-0.004331797235039403,2021-01-11T18:17:04Z
2927.64,3.714,144,85,827,254.73,44.977231565862894,-93.22925216518342,6091847648,254.72949308755761,-5.069124423755511e-4,2021-01-11T18:17:05Z
2930.72,3.714,145,84,828,254.73,44.97725956141949,-93.22925057262182,6091847648,254.72036866359448,-0.009631336405504953,2021-01-11T18:17:06Z
2934.13,3.714,145,84,829,254.73,44.97729007154703,-93.2292442023754,6091847648,254.70834101382488,-0.02165898617511175,2021-01-11T18:17:07Z
2937.27,3.695,145,84,830,254.73,44.97731798328459,-93.22923841886222,6091847648,254.6936405529954,-0.03635944700459959,2021-01-11T18:17:08Z
